Bairro,Zona
Centro,Central
Novo Centro,Central
Zona 01,Central
Zona 02,Central
Zona 03,Central
Zona 04,Central
Zona 05,Central
Zona 07,Central
Cj Res Requião,Leste
Jd Ipanema,Leste
Jd Paulista,Leste
Jd Sanenge III,Leste
Res Aeroporto,Leste
Vl Régia,Leste
Zona 08,Leste
Cidade Jardim,Norte
Cidade Nova,Norte
Cj Herman  M Barros,Norte
Ebenezer,Norte
Jd Alvorada,Norte
Jd Batel,Norte
Jd Canadá,Norte
Jd Copacabana II,Norte
Jd Diamante,Norte
Jd Dias I,Norte
Jd Ebenezeer,Norte
Jd Imperial,Norte
Jd Kakogawa,Norte
Jd Lucianópolis,Norte
Jd Maravilha,Norte
Jd Novo Alvorada,Norte
Jd Oásis,Norte
Jd Oriental,Norte
Jd Paris III,Norte
Jd Pilar,Norte
Jd Rebouças,Norte
Jd Sta Izabel,Norte
Jd Sumaré,Norte
Jd Tóquio,Norte
Jd Tupinambá,Norte
Pq das Grevíleas,Norte
Pq das Palmeiras,Norte
Pq dos Camargos,Norte
Pq Ind Duzentão,Norte
Pq Industrial,Norte
Vl Esperança,Norte
Vl Morangueira,Norte
Vl Sta Izabel,Norte
Zona 07,Norte
Jd Aurora,Oeste
Jd dos Pássaros,Oeste
Pq Hortência II,Oeste
São Domingos,Oeste
Zona Rural,Rural
Chácaras Paulista,Sul
jd Higienópolis,Sul
Jd Itália,Sul
Jd Monções,Sul
Jd Novo Horizonte,Sul
Jd Verônica,Sul
Vl Bosque,Sul
